,importance
GATS1s,0.033428765290199815
NaasC,0.0317962832497641
VE1_A,0.026009641270625678
SaaaC,0.024224917002235943
ATSC3c,0.022823437010742735
AATSC3c,0.020005913415792602
AATS3i,0.019157246072647748
BCUTpe-1l,0.01425928972194425
nN,0.014128574499264211
GATS4dv,0.014127357635212263
BCUTZ-1l,0.01404133439480884
AXp-1d,0.013625151169806895
ATSC4dv,0.013085361065239252
MATS1s,0.011654785617067771
ATSC1v,0.011066161812253067
AATSC8s,0.010951662830709108
nAromAtom,0.010828652403204993
C2SP2,0.010511799926851166
ATSC4c,0.009929926260610256
BalabanJ,0.009870201785145286
SpMax_A,0.009104382219721877
Xch-6dv,0.00903214516749711
BCUTc-1h,0.008825125686695271
AATS0d,0.008737126894105166
GATS4s,0.008728466455760454
GATS4se,0.008384880480548106
GATS3c,0.008251177962188312
GATS1i,0.008181471786166452
AATSC4c,0.008040281681696609
AATSC1v,0.008023436032637577
AATS4i,0.008014370370340033
AATS6d,0.007827670357789532
MAXdssC,0.007806131787635423
VR3_A,0.007794226690019425
AATSC1s,0.007747778402896008
AATS7s,0.0076906037769967975
AATSC7c,0.007617320589690009
Xch-6d,0.007615373522012974
AATS6i,0.007358713705137311
ATSC7c,0.007294484810107516
GATS1c,0.0071693507845498475
Xch-7d,0.00713929379597899
AATSC4s,0.00713447566704499
AATSC7s,0.007044351911784828
MATS1c,0.006882987281744957
AATSC3d,0.00687655811770976
GATS5c,0.0068453923317019685
ATSC5c,0.00683811458114922
AXp-2d,0.006771137180141006
AATSC4dv,0.006732547015926805
AATS1i,0.006731491522765341
PEOE_VSA10,0.006683844169699448
AATSC5d,0.006677466417728966
SaasC,0.006520923989667916
MATS2c,0.0062438544001585956
GATS2c,0.006232701089409059
Xc-5d,0.006059693910843184
BCUTi-1h,0.006027540986954632
ATSC6c,0.00601967271407662
ATSC2c,0.005958880865985237
AATS6s,0.005826538127682972
AATSC0d,0.0058119542506753835
AATS7dv,0.005743342918591853
BCUTd-1h,0.005592458971504173
AATSC3s,0.005590902106823996
GATS8s,0.005566630222706005
ATSC1p,0.005544532256266456
RPCG,0.005487619907244762
PEOE_VSA2,0.005473527963327387
AATSC5s,0.00546862962976151
GATS2i,0.005347242131410307
ATSC5d,0.005321327846693928
AATSC2c,0.005121952544232426
BCUTs-1l,0.0050475772695680095
NdO,0.005020355761142891
GATS1se,0.005000199453898473
BCUTd-1l,0.004985071641112332
AATSC0c,0.004973961040998256
Xch-7dv,0.004970793829827081
ATSC4s,0.0049572875946459075
GATS3p,0.004866807222072639
MAXssCH2,0.004856311719159941
ATSC1s,0.004819997520348558
SdssC,0.004804755892159425
HybRatio,0.004790218276901143
AATS2i,0.00471422186121514
MAXsssCH,0.004705644359771707
PEOE_VSA13,0.004585692820345715
BCUTc-1l,0.004492847353719551
AATS1s,0.004457360668642785
MAXaaCH,0.0044555648867177396
AATS4s,0.004452654369493075
EState_VSA6,0.004450671351477739
C3SP2,0.004449032116419935
AATS0i,0.004378230231942782
RNCG,0.004325355538946105
AXp-1dv,0.004322539346670883
Xch-5d,0.0043081249710528405
GATS2s,0.00428388168124498
GATS3se,0.004253393359404464
AATSC3p,0.004214939021236939
Xc-5dv,0.004209979762768158
MAXaasC,0.004158360654586047
BCUTZ-1h,0.004147156008291647
ATSC6d,0.004114585884935773
SlogP_VSA4,0.004102104824764328
BCUTdv-1l,0.004021284214761827
GATS2se,0.004014778553320785
AATS8s,0.004000693632235795
AATSC4i,0.003950752932636939
GATS2p,0.003949972098389118
AATSC0i,0.003944541181339084
nHetero,0.003936169918589071
SMR_VSA6,0.003908599680137639
Xc-3dv,0.0038879215716818957
AATS7Z,0.003831370253188109
ATSC1i,0.0038286335229474585
AATSC0p,0.003804679013633035
NaaCH,0.003753813710042607
AATSC1se,0.003684609943239026
SpAbs_A,0.0036723465531525797
GATS1Z,0.0036527821713365116
nO,0.003639516319152572
AATSC3v,0.0036008709096284203
MATS2s,0.0035802719624307097
ATSC2d,0.0035278970104982332
MAXsCH3,0.003479536067134826
BCUTv-1l,0.003463583272947142
PEOE_VSA6,0.0034096044653043095
ATSC2se,0.003388228614841652
AATSC1dv,0.003348699036466726
GATS3i,0.0033160964405613154
ATSC2Z,0.003249031271881753
ATSC1se,0.0031446049143876316
ATSC3i,0.003122339793890358
AATSC0v,0.0030922831250580272
SpMAD_A,0.003084644359525538
ATSC4p,0.002986904302935543
ATSC1Z,0.0029470297216034826
ATSC1d,0.0029431782826457344
ATSC4i,0.0028664846770044853
Xch-5dv,0.002804356244843298
ATSC2s,0.0027750331131091836
AATS0s,0.002685306519125283
AATS0Z,0.0025119660175970584
MATS3Z,0.0023444858905981645
PEOE_VSA5,0.0022163754040465562
BCUTdv-1h,0.002132432707850316
BCUTs-1h,0.0017826529250835818
AATSC3Z,0.0015753241484857937
Xc-6d,0.0012677521019288963
Xc-4d,0.0011063147076085154
